REF_DATE,GEO,DGUID,Financial market statistics,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
15-07-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
16-07-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,,..,,,3
17-07-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,,..,,,3
18-07-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
19-07-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
20-07-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
21-07-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
22-07-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
23-07-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,,..,,,3
24-07-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,,..,,,3
25-07-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
26-07-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
27-07-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
28-07-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
29-07-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
30-07-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,,..,,,3
31-07-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,,..,,,3
01-08-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
02-08-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
03-08-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
04-08-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
05-08-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
06-08-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,,..,,,3
07-08-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,,..,,,3
08-08-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
09-08-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
10-08-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
11-08-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
12-08-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
13-08-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,,..,,,3
14-08-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,,..,,,3
15-08-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
16-08-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
17-08-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
18-08-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
19-08-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
20-08-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,,..,,,3
21-08-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,,..,,,3
22-08-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
23-08-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
24-08-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
25-08-2005,Canada,2016A000011124,"Operating band, low",Percent,239,units,0,v39076,1.36,2.25,,,,3
